id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
2398,1877,Mastercard,Debit,5.91194E+15,2024-03-01,410,YES,2,23408,1996-04-01,2008
5414,1877,Visa,Credit,4.22628E+15,2022-09-01,966,YES,2,9700,2004-11-01,2007
3758,668,Mastercard,Debit,5.625E+15,2024-06-01,992,NO,2,10538,2006-07-01,2006
4097,668,Mastercard,Debit,5.75221E+15,2023-03-01,385,YES,2,6853,2001-08-01,2006
5778,668,Mastercard,Debit,5.47002E+15,2020-10-01,598,YES,2,607,2002-12-01,2010
4318,668,Mastercard,Credit,5.7646E+15,2021-08-01,397,YES,1,0,2010-08-01,2010
5015,668,Visa,Debit,4.37835E+15,2021-06-01,644,YES,2,8253,2004-10-01,2011
750,533,Visa,Debit,4.4152E+15,2020-09-01,847,YES,2,8492,2020-01-01,2020
242,203,Visa,Credit,4.71631E+15,2022-07-01,275,YES,1,9100,2010-01-01,2010
3966,203,Mastercard,Credit,5.17541E+15,2022-04-01,497,NO,2,2600,2011-07-01,2011
5375,203,Mastercard,Credit,5.07943E+15,2024-05-01,813,NO,1,7300,2002-11-01,2010
5166,1738,Visa,Credit,4.84159E+15,2020-08-01,207,YES,1,15000,2009-10-01,2009
1472,1738,Mastercard,Credit,5.13334E+15,2024-04-01,497,YES,2,18700,2020-02-01,2020
751,1738,Visa,Debit,4.04469E+15,2021-05-01,579,YES,1,21458,2020-01-01,2020
5623,1738,Visa,Credit,4.82518E+15,2020-04-01,635,NO,1,15700,2010-11-01,2014
6099,713,Mastercard,Debit,5.53306E+15,2020-01-01,13,YES,2,20765,2014-12-01,2014
1473,713,Mastercard,Debit,5.13781E+15,2022-06-01,170,NO,2,18101,2020-02-01,2020
1775,713,Visa,Credit,4.40955E+15,2024-11-01,528,YES,1,8400,2020-02-01,2020
447,713,Mastercard,Debit,5.16971E+15,2020-03-01,66,YES,1,1737,2020-01-01,2020
1474,1631,Mastercard,Credit,5.78214E+15,2020-02-01,217,YES,2,20900,2020-02-01,2020
1776,1631,Visa,Credit,4.4501E+15,2021-11-01,601,YES,1,23700,2020-02-01,2020
448,1631,Mastercard,Credit,5.29808E+15,2021-11-01,989,YES,1,17500,2020-01-01,2020
5978,1487,Visa,Debit,4.91189E+15,2024-06-01,769,YES,1,26083,2009-12-01,2009
2978,1487,Visa,Debit,4.39401E+15,2022-10-01,943,YES,1,31589,2008-05-01,2008
4946,1487,Visa,Credit,4.98411E+15,2021-06-01,453,YES,2,24200,2000-10-01,2013
1475,1265,Mastercard,Debit,5.65888E+15,2020-02-01,190,YES,2,18321,2020-02-01,2020
5376,370,Mastercard,Debit,5.37713E+15,2022-10-01,94,YES,2,7551,2002-11-01,2010
4127,370,Mastercard,Debit,5.60682E+15,2014-06-01,451,YES,1,15377,2004-08-01,2011
5093,370,Visa,Debit,4.5017E+15,2023-03-01,324,YES,1,12990,2007-10-01,2016
3490,370,Visa,Debit,4.0151E+15,2023-02-01,494,YES,1,8509,2010-06-01,2010
5702,1014,Visa,Debit,4.4672E+15,2014-11-01,176,YES,1,96907,2014-11-01,2014
2200,1014,Visa,Credit,4.08147E+15,2015-07-01,45,YES,1,43900,2008-03-01,2013
5436,1014,Visa,Debit (Prepaid),4.8683E+15,2020-10-01,440,YES,2,76,2005-11-01,2007
449,290,Mastercard,Debit,5.84371E+15,2020-01-01,533,YES,2,50915,2020-01-01,2020
1777,290,Visa,Debit,4.05231E+15,2021-12-01,369,YES,2,31767,2020-02-01,2020
3862,985,Visa,Credit,4.22989E+15,2024-04-01,82,YES,2,13200,2008-07-01,2010
1268,985,Mastercard,Credit,5.93695E+15,2022-10-01,372,YES,2,16000,2011-02-01,2012
752,985,Visa,Debit,4.74846E+15,2024-07-01,223,YES,2,18132,2020-01-01,2020
2704,985,Visa,Credit,4.86279E+15,2019-02-01,466,YES,1,300,2012-04-01,2012
2808,135,Mastercard,Debit,5.73684E+15,2022-11-01,714,YES,2,2236,2000-05-01,2015
4791,135,Visa,Debit,4.52885E+15,2019-08-01,451,YES,2,21591,2010-09-01,2010
1476,307,Mastercard,Debit,5.9568E+15,2020-04-01,927,YES,2,11521,2020-02-01,2020
753,307,Visa,Credit,4.94983E+15,2020-06-01,561,NO,1,8600,2020-01-01,2020
4112,1783,Amex,Credit,3.23782E+14,2020-03-01,659,YES,1,9800,2003-08-01,2010
1154,1783,Visa,Credit,4.17288E+15,2012-03-01,902,YES,2,11300,2008-02-01,2009
2598,1783,Mastercard,Credit,5.15349E+15,2019-10-01,492,YES,1,8400,2009-04-01,2011
10,1783,Mastercard,Debit,5.51321E+15,2023-12-01,789,YES,1,16597,1999-01-01,2009
4655,1783,Amex,Credit,3.16139E+14,2020-09-01,876,YES,2,9400,2008-09-01,2008
5908,1321,Visa,Debit,4.70994E+15,2008-12-01,122,YES,1,18702,2007-12-01,2007
3357,1511,Visa,Debit,4.72544E+15,2022-06-01,675,YES,1,24806,2007-06-01,2007
5502,1511,Visa,Debit,4.99299E+15,2023-05-01,457,YES,1,19856,2007-11-01,2011
1238,900,Visa,Debit (Prepaid),4.58025E+15,2021-02-01,397,YES,2,68,2010-02-01,2010
3412,900,Amex,Credit,3.47103E+14,2022-12-01,791,YES,2,4900,2009-06-01,2009
1477,953,Mastercard,Debit,5.77939E+15,2022-02-01,421,YES,1,13390,2020-02-01,2020
1396,953,Amex,Credit,3.43259E+14,2024-11-01,210,YES,3,8400,2020-02-01,2020
1297,233,Amex,Credit,3.74396E+14,2024-03-01,659,YES,2,13700,2012-02-01,2012
3605,406,Discover,Credit,6.3088E+15,2024-11-01,205,YES,2,4200,2016-06-01,2016
5167,1069,Visa,Debit,4.43983E+15,2020-08-01,424,YES,2,2292,2009-10-01,2015
3922,1069,Amex,Credit,3.04372E+14,2021-03-01,495,YES,1,8800,2010-07-01,2010
5453,180,Mastercard,Credit,5.88138E+15,2023-03-01,312,NO,2,7600,2006-11-01,2009
2888,180,Visa,Credit,4.96673E+15,2021-11-01,756,YES,2,6200,2005-05-01,2018
3208,996,Mastercard,Credit,5.78496E+15,2023-07-01,348,YES,1,12900,1999-06-01,2011
4661,996,Mastercard,Debit,5.61738E+15,2022-06-01,228,YES,2,18820,2008-09-01,2015
